,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
53,ACWI,LSE,ACWI.L,LON:ACWI,https://www.google.com/finance?q=LON:ACWI,"http://finance.yahoo.com/echarts?s=ACWI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
54,ACWL,LSE,ACWL.L,LON:ACWL,https://www.google.com/finance?q=LON:ACWL,"http://finance.yahoo.com/echarts?s=ACWL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
55,ACWU,LSE,ACWU.L,LON:ACWU,https://www.google.com/finance?q=LON:ACWU,"http://finance.yahoo.com/echarts?s=ACWU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
56,ACXUSS,LSE,ACXUSS.L,LON:ACXUSS,https://www.google.com/finance?q=LON:ACXUSS,"http://finance.yahoo.com/echarts?s=ACXUSS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
57,AD01,LSE,AD01.L,LON:AD01,https://www.google.com/finance?q=LON:AD01,"http://finance.yahoo.com/echarts?s=AD01.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
58,AD02,LSE,AD02.L,LON:AD02,https://www.google.com/finance?q=LON:AD02,"http://finance.yahoo.com/echarts?s=AD02.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
59,AD03,LSE,AD03.L,LON:AD03,https://www.google.com/finance?q=LON:AD03,"http://finance.yahoo.com/echarts?s=AD03.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
60,AD04,LSE,AD04.L,LON:AD04,https://www.google.com/finance?q=LON:AD04,"http://finance.yahoo.com/echarts?s=AD04.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
61,AD05,LSE,AD05.L,LON:AD05,https://www.google.com/finance?q=LON:AD05,"http://finance.yahoo.com/echarts?s=AD05.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
62,AD06,LSE,AD06.L,LON:AD06,https://www.google.com/finance?q=LON:AD06,"http://finance.yahoo.com/echarts?s=AD06.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
63,AD07,LSE,AD07.L,LON:AD07,https://www.google.com/finance?q=LON:AD07,"http://finance.yahoo.com/echarts?s=AD07.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
64,AD09,LSE,AD09.L,LON:AD09,https://www.google.com/finance?q=LON:AD09,"http://finance.yahoo.com/echarts?s=AD09.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
65,AD13,LSE,AD13.L,LON:AD13,https://www.google.com/finance?q=LON:AD13,"http://finance.yahoo.com/echarts?s=AD13.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
