,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
1848,GSR,LSE,GSR.L,LON:GSR,https://www.google.com/finance?q=LON:GSR,"http://finance.yahoo.com/echarts?s=GSR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1849,GSS,LSE,GSS.L,LON:GSS,https://www.google.com/finance?q=LON:GSS,"http://finance.yahoo.com/echarts?s=GSS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1850,GTC,LSE,GTC.L,LON:GTC,https://www.google.com/finance?q=LON:GTC,"http://finance.yahoo.com/echarts?s=GTC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1851,GTLY,LSE,GTLY.L,LON:GTLY,https://www.google.com/finance?q=LON:GTLY,"http://finance.yahoo.com/echarts?s=GTLY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1852,GTS,LSE,GTS.L,LON:GTS,https://www.google.com/finance?q=LON:GTS,"http://finance.yahoo.com/echarts?s=GTS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1853,GUS,LSE,GUS.L,LON:GUS,https://www.google.com/finance?q=LON:GUS,"http://finance.yahoo.com/echarts?s=GUS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1854,GVC,LSE,GVC.L,LON:GVC,https://www.google.com/finance?q=LON:GVC,"http://finance.yahoo.com/echarts?s=GVC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1855,GVP,LSE,GVP.L,LON:GVP,https://www.google.com/finance?q=LON:GVP,"http://finance.yahoo.com/echarts?s=GVP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1856,GWI,LSE,GWI.L,LON:GWI,https://www.google.com/finance?q=LON:GWI,"http://finance.yahoo.com/echarts?s=GWI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1857,GWIK,LSE,GWIK.L,LON:GWIK,https://www.google.com/finance?q=LON:GWIK,"http://finance.yahoo.com/echarts?s=GWIK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1858,GWMO,LSE,GWMO.L,LON:GWMO,https://www.google.com/finance?q=LON:GWMO,"http://finance.yahoo.com/echarts?s=GWMO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1859,GWP,LSE,GWP.L,LON:GWP,https://www.google.com/finance?q=LON:GWP,"http://finance.yahoo.com/echarts?s=GWP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1860,GWUSA,LSE,GWUSA.L,LON:GWUSA,https://www.google.com/finance?q=LON:GWUSA,"http://finance.yahoo.com/echarts?s=GWUSA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1861,GYM,LSE,GYM.L,LON:GYM,https://www.google.com/finance?q=LON:GYM,"http://finance.yahoo.com/echarts?s=GYM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1862,H50E,LSE,H50E.L,LON:H50E,https://www.google.com/finance?q=LON:H50E,"http://finance.yahoo.com/echarts?s=H50E.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1863,HAIK,LSE,HAIK.L,LON:HAIK,https://www.google.com/finance?q=LON:HAIK,"http://finance.yahoo.com/echarts?s=HAIK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1864,HALB,LSE,HALB.L,LON:HALB,https://www.google.com/finance?q=LON:HALB,"http://finance.yahoo.com/echarts?s=HALB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1865,HALF,LSE,HALF.L,LON:HALF,https://www.google.com/finance?q=LON:HALF,"http://finance.yahoo.com/echarts?s=HALF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1866,HALO,LSE,HALO.L,LON:HALO,https://www.google.com/finance?q=LON:HALO,"http://finance.yahoo.com/echarts?s=HALO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1867,HAN,LSE,HAN.L,LON:HAN,https://www.google.com/finance?q=LON:HAN,"http://finance.yahoo.com/echarts?s=HAN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1868,HANA,LSE,HANA.L,LON:HANA,https://www.google.com/finance?q=LON:HANA,"http://finance.yahoo.com/echarts?s=HANA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1869,HAS,LSE,HAS.L,LON:HAS,https://www.google.com/finance?q=LON:HAS,"http://finance.yahoo.com/echarts?s=HAS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1870,HAST,LSE,HAST.L,LON:HAST,https://www.google.com/finance?q=LON:HAST,"http://finance.yahoo.com/echarts?s=HAST.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1871,HAT,LSE,HAT.L,LON:HAT,https://www.google.com/finance?q=LON:HAT,"http://finance.yahoo.com/echarts?s=HAT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1872,HAWK,LSE,HAWK.L,LON:HAWK,https://www.google.com/finance?q=LON:HAWK,"http://finance.yahoo.com/echarts?s=HAWK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1873,HAYD,LSE,HAYD.L,LON:HAYD,https://www.google.com/finance?q=LON:HAYD,"http://finance.yahoo.com/echarts?s=HAYD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1874,HAYT,LSE,HAYT.L,LON:HAYT,https://www.google.com/finance?q=LON:HAYT,"http://finance.yahoo.com/echarts?s=HAYT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1875,HB20,LSE,HB20.L,LON:HB20,https://www.google.com/finance?q=LON:HB20,"http://finance.yahoo.com/echarts?s=HB20.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1876,HBRL,LSE,HBRL.L,LON:HBRL,https://www.google.com/finance?q=LON:HBRL,"http://finance.yahoo.com/echarts?s=HBRL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1877,HBRN,LSE,HBRN.L,LON:HBRN,https://www.google.com/finance?q=LON:HBRN,"http://finance.yahoo.com/echarts?s=HBRN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1878,HCAD,LSE,HCAD.L,LON:HCAD,https://www.google.com/finance?q=LON:HCAD,"http://finance.yahoo.com/echarts?s=HCAD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1879,HCAN,LSE,HCAN.L,LON:HCAN,https://www.google.com/finance?q=LON:HCAN,"http://finance.yahoo.com/echarts?s=HCAN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1880,HCFT,LSE,HCFT.L,LON:HCFT,https://www.google.com/finance?q=LON:HCFT,"http://finance.yahoo.com/echarts?s=HCFT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1881,HCM,LSE,HCM.L,LON:HCM,https://www.google.com/finance?q=LON:HCM,"http://finance.yahoo.com/echarts?s=HCM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1882,HDD,LSE,HDD.L,LON:HDD,https://www.google.com/finance?q=LON:HDD,"http://finance.yahoo.com/echarts?s=HDD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1883,HDEU,LSE,HDEU.L,LON:HDEU,https://www.google.com/finance?q=LON:HDEU,"http://finance.yahoo.com/echarts?s=HDEU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1884,HDIQ,LSE,HDIQ.L,LON:HDIQ,https://www.google.com/finance?q=LON:HDIQ,"http://finance.yahoo.com/echarts?s=HDIQ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1885,HDIV,LSE,HDIV.L,LON:HDIV,https://www.google.com/finance?q=LON:HDIV,"http://finance.yahoo.com/echarts?s=HDIV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1886,HDLG,LSE,HDLG.L,LON:HDLG,https://www.google.com/finance?q=LON:HDLG,"http://finance.yahoo.com/echarts?s=HDLG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1887,HDLV,LSE,HDLV.L,LON:HDLV,https://www.google.com/finance?q=LON:HDLV,"http://finance.yahoo.com/echarts?s=HDLV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1888,HDLVDEUN,LSE,HDLVDEUN.L,LON:HDLVDEUN,https://www.google.com/finance?q=LON:HDLVDEUN,"http://finance.yahoo.com/echarts?s=HDLVDEUN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1889,HDLVEMN,LSE,HDLVEMN.L,LON:HDLVEMN,https://www.google.com/finance?q=LON:HDLVEMN,"http://finance.yahoo.com/echarts?s=HDLVEMN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1890,HDLVUKN,LSE,HDLVUKN.L,LON:HDLVUKN,https://www.google.com/finance?q=LON:HDLVUKN,"http://finance.yahoo.com/echarts?s=HDLVUKN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1891,HDT,LSE,HDT.L,LON:HDT,https://www.google.com/finance?q=LON:HDT,"http://finance.yahoo.com/echarts?s=HDT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1892,HDY,LSE,HDY.L,LON:HDY,https://www.google.com/finance?q=LON:HDY,"http://finance.yahoo.com/echarts?s=HDY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1893,HEAD,LSE,HEAD.L,LON:HEAD,https://www.google.com/finance?q=LON:HEAD,"http://finance.yahoo.com/echarts?s=HEAD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1894,HEAT,LSE,HEAT.L,LON:HEAT,https://www.google.com/finance?q=LON:HEAT,"http://finance.yahoo.com/echarts?s=HEAT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1895,HEDF,LSE,HEDF.L,LON:HEDF,https://www.google.com/finance?q=LON:HEDF,"http://finance.yahoo.com/echarts?s=HEDF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1896,HEDFEIV,LSE,HEDFEIV.L,LON:HEDFEIV,https://www.google.com/finance?q=LON:HEDFEIV,"http://finance.yahoo.com/echarts?s=HEDFEIV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1897,HEDJ,LSE,HEDJ.L,LON:HEDJ,https://www.google.com/finance?q=LON:HEDJ,"http://finance.yahoo.com/echarts?s=HEDJ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1898,HEDJEIV,LSE,HEDJEIV.L,LON:HEDJEIV,https://www.google.com/finance?q=LON:HEDJEIV,"http://finance.yahoo.com/echarts?s=HEDJEIV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1899,HEDP,LSE,HEDP.L,LON:HEDP,https://www.google.com/finance?q=LON:HEDP,"http://finance.yahoo.com/echarts?s=HEDP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1900,HEDPEIV,LSE,HEDPEIV.L,LON:HEDPEIV,https://www.google.com/finance?q=LON:HEDPEIV,"http://finance.yahoo.com/echarts?s=HEDPEIV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1901,HEFT,LSE,HEFT.L,LON:HEFT,https://www.google.com/finance?q=LON:HEFT,"http://finance.yahoo.com/echarts?s=HEFT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1902,HER,LSE,HER.L,LON:HER,https://www.google.com/finance?q=LON:HER,"http://finance.yahoo.com/echarts?s=HER.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1903,HEWA,LSE,HEWA.L,LON:HEWA,https://www.google.com/finance?q=LON:HEWA,"http://finance.yahoo.com/echarts?s=HEWA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1904,HFD,LSE,HFD.L,LON:HFD,https://www.google.com/finance?q=LON:HFD,"http://finance.yahoo.com/echarts?s=HFD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1905,HFEL,LSE,HFEL.L,LON:HFEL,https://www.google.com/finance?q=LON:HFEL,"http://finance.yahoo.com/echarts?s=HFEL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1906,HFG,LSE,HFG.L,LON:HFG,https://www.google.com/finance?q=LON:HFG,"http://finance.yahoo.com/echarts?s=HFG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1907,HGG,LSE,HGG.L,LON:HGG,https://www.google.com/finance?q=LON:HGG,"http://finance.yahoo.com/echarts?s=HGG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1908,HGM,LSE,HGM.L,LON:HGM,https://www.google.com/finance?q=LON:HGM,"http://finance.yahoo.com/echarts?s=HGM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1909,HGT,LSE,HGT.L,LON:HGT,https://www.google.com/finance?q=LON:HGT,"http://finance.yahoo.com/echarts?s=HGT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1910,HHI,LSE,HHI.L,LON:HHI,https://www.google.com/finance?q=LON:HHI,"http://finance.yahoo.com/echarts?s=HHI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1911,HHPD,LSE,HHPD.L,LON:HHPD,https://www.google.com/finance?q=LON:HHPD,"http://finance.yahoo.com/echarts?s=HHPD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1912,HHV,LSE,HHV.L,LON:HHV,https://www.google.com/finance?q=LON:HHV,"http://finance.yahoo.com/echarts?s=HHV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1913,HHVT,LSE,HHVT.L,LON:HHVT,https://www.google.com/finance?q=LON:HHVT,"http://finance.yahoo.com/echarts?s=HHVT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1914,HICL,LSE,HICL.L,LON:HICL,https://www.google.com/finance?q=LON:HICL,"http://finance.yahoo.com/echarts?s=HICL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1915,HIDD,LSE,HIDD.L,LON:HIDD,https://www.google.com/finance?q=LON:HIDD,"http://finance.yahoo.com/echarts?s=HIDD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1916,HIDR,LSE,HIDR.L,LON:HIDR,https://www.google.com/finance?q=LON:HIDR,"http://finance.yahoo.com/echarts?s=HIDR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1917,HIK,LSE,HIK.L,LON:HIK,https://www.google.com/finance?q=LON:HIK,"http://finance.yahoo.com/echarts?s=HIK.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1918,HILS,LSE,HILS.L,LON:HILS,https://www.google.com/finance?q=LON:HILS,"http://finance.yahoo.com/echarts?s=HILS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1919,HINT,LSE,HINT.L,LON:HINT,https://www.google.com/finance?q=LON:HINT,"http://finance.yahoo.com/echarts?s=HINT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1920,HIX,LSE,HIX.L,LON:HIX,https://www.google.com/finance?q=LON:HIX,"http://finance.yahoo.com/echarts?s=HIX.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1921,HKLB,LSE,HKLB.L,LON:HKLB,https://www.google.com/finance?q=LON:HKLB,"http://finance.yahoo.com/echarts?s=HKLB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1922,HKOD,LSE,HKOD.L,LON:HKOD,https://www.google.com/finance?q=LON:HKOD,"http://finance.yahoo.com/echarts?s=HKOD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1923,HKOR,LSE,HKOR.L,LON:HKOR,https://www.google.com/finance?q=LON:HKOR,"http://finance.yahoo.com/echarts?s=HKOR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1924,HL,LSE,HL.L,LON:HL,https://www.google.com/finance?q=LON:HL,"http://finance.yahoo.com/echarts?s=HL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1925,HLCL,LSE,HLCL.L,LON:HLCL,https://www.google.com/finance?q=LON:HLCL,"http://finance.yahoo.com/echarts?s=HLCL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1926,HLMA,LSE,HLMA.L,LON:HLMA,https://www.google.com/finance?q=LON:HLMA,"http://finance.yahoo.com/echarts?s=HLMA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1927,HLTG,LSE,HLTG.L,LON:HLTG,https://www.google.com/finance?q=LON:HLTG,"http://finance.yahoo.com/echarts?s=HLTG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1928,HLTW,LSE,HLTW.L,LON:HLTW,https://www.google.com/finance?q=LON:HLTW,"http://finance.yahoo.com/echarts?s=HLTW.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1929,HMAD,LSE,HMAD.L,LON:HMAD,https://www.google.com/finance?q=LON:HMAD,"http://finance.yahoo.com/echarts?s=HMAD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1930,HMAF,LSE,HMAF.L,LON:HMAF,https://www.google.com/finance?q=LON:HMAF,"http://finance.yahoo.com/echarts?s=HMAF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1931,HMBR,LSE,HMBR.L,LON:HMBR,https://www.google.com/finance?q=LON:HMBR,"http://finance.yahoo.com/echarts?s=HMBR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1932,HMCD,LSE,HMCD.L,LON:HMCD,https://www.google.com/finance?q=LON:HMCD,"http://finance.yahoo.com/echarts?s=HMCD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1933,HMCH,LSE,HMCH.L,LON:HMCH,https://www.google.com/finance?q=LON:HMCH,"http://finance.yahoo.com/echarts?s=HMCH.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1934,HMCX,LSE,HMCX.L,LON:HMCX,https://www.google.com/finance?q=LON:HMCX,"http://finance.yahoo.com/echarts?s=HMCX.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1935,HMED,LSE,HMED.L,LON:HMED,https://www.google.com/finance?q=LON:HMED,"http://finance.yahoo.com/echarts?s=HMED.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1936,HMEF,LSE,HMEF.L,LON:HMEF,https://www.google.com/finance?q=LON:HMEF,"http://finance.yahoo.com/echarts?s=HMEF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1937,HMEM,LSE,HMEM.L,LON:HMEM,https://www.google.com/finance?q=LON:HMEM,"http://finance.yahoo.com/echarts?s=HMEM.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1938,HMEU,LSE,HMEU.L,LON:HMEU,https://www.google.com/finance?q=LON:HMEU,"http://finance.yahoo.com/echarts?s=HMEU.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1939,HMEX,LSE,HMEX.L,LON:HMEX,https://www.google.com/finance?q=LON:HMEX,"http://finance.yahoo.com/echarts?s=HMEX.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1940,HMFD,LSE,HMFD.L,LON:HMFD,https://www.google.com/finance?q=LON:HMFD,"http://finance.yahoo.com/echarts?s=HMFD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1941,HMFE,LSE,HMFE.L,LON:HMFE,https://www.google.com/finance?q=LON:HMFE,"http://finance.yahoo.com/echarts?s=HMFE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1942,HMI,LSE,HMI.L,LON:HMI,https://www.google.com/finance?q=LON:HMI,"http://finance.yahoo.com/echarts?s=HMI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1943,HMJD,LSE,HMJD.L,LON:HMJD,https://www.google.com/finance?q=LON:HMJD,"http://finance.yahoo.com/echarts?s=HMJD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1944,HMJP,LSE,HMJP.L,LON:HMJP,https://www.google.com/finance?q=LON:HMJP,"http://finance.yahoo.com/echarts?s=HMJP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1945,HMLA,LSE,HMLA.L,LON:HMLA,https://www.google.com/finance?q=LON:HMLA,"http://finance.yahoo.com/echarts?s=HMLA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1946,HMLD,LSE,HMLD.L,LON:HMLD,https://www.google.com/finance?q=LON:HMLD,"http://finance.yahoo.com/echarts?s=HMLD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1947,HMLH,LSE,HMLH.L,LON:HMLH,https://www.google.com/finance?q=LON:HMLH,"http://finance.yahoo.com/echarts?s=HMLH.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1948,HMSF,LSE,HMSF.L,LON:HMSF,https://www.google.com/finance?q=LON:HMSF,"http://finance.yahoo.com/echarts?s=HMSF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1949,HMSG,LSE,HMSG.L,LON:HMSG,https://www.google.com/finance?q=LON:HMSG,"http://finance.yahoo.com/echarts?s=HMSG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1950,HMSO,LSE,HMSO.L,LON:HMSO,https://www.google.com/finance?q=LON:HMSO,"http://finance.yahoo.com/echarts?s=HMSO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1951,HMUD,LSE,HMUD.L,LON:HMUD,https://www.google.com/finance?q=LON:HMUD,"http://finance.yahoo.com/echarts?s=HMUD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1952,HMUS,LSE,HMUS.L,LON:HMUS,https://www.google.com/finance?q=LON:HMUS,"http://finance.yahoo.com/echarts?s=HMUS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1953,HMWD,LSE,HMWD.L,LON:HMWD,https://www.google.com/finance?q=LON:HMWD,"http://finance.yahoo.com/echarts?s=HMWD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1954,HMWO,LSE,HMWO.L,LON:HMWO,https://www.google.com/finance?q=LON:HMWO,"http://finance.yahoo.com/echarts?s=HMWO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1955,HMXD,LSE,HMXD.L,LON:HMXD,https://www.google.com/finance?q=LON:HMXD,"http://finance.yahoo.com/echarts?s=HMXD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1956,HMXJ,LSE,HMXJ.L,LON:HMXJ,https://www.google.com/finance?q=LON:HMXJ,"http://finance.yahoo.com/echarts?s=HMXJ.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1957,HMYD,LSE,HMYD.L,LON:HMYD,https://www.google.com/finance?q=LON:HMYD,"http://finance.yahoo.com/echarts?s=HMYD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1958,HMYR,LSE,HMYR.L,LON:HMYR,https://www.google.com/finance?q=LON:HMYR,"http://finance.yahoo.com/echarts?s=HMYR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1959,HNE,LSE,HNE.L,LON:HNE,https://www.google.com/finance?q=LON:HNE,"http://finance.yahoo.com/echarts?s=HNE.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1960,HNL,LSE,HNL.L,LON:HNL,https://www.google.com/finance?q=LON:HNL,"http://finance.yahoo.com/echarts?s=HNL.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1961,HNR,LSE,HNR.L,LON:HNR,https://www.google.com/finance?q=LON:HNR,"http://finance.yahoo.com/echarts?s=HNR.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1962,HNT,LSE,HNT.L,LON:HNT,https://www.google.com/finance?q=LON:HNT,"http://finance.yahoo.com/echarts?s=HNT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1963,HOC,LSE,HOC.L,LON:HOC,https://www.google.com/finance?q=LON:HOC,"http://finance.yahoo.com/echarts?s=HOC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1964,HOGF,LSE,HOGF.L,LON:HOGF,https://www.google.com/finance?q=LON:HOGF,"http://finance.yahoo.com/echarts?s=HOGF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1965,HOGS,LSE,HOGS.L,LON:HOGS,https://www.google.com/finance?q=LON:HOGS,"http://finance.yahoo.com/echarts?s=HOGS.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1966,HOME,LSE,HOME.L,LON:HOME,https://www.google.com/finance?q=LON:HOME,"http://finance.yahoo.com/echarts?s=HOME.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1967,HON,LSE,HON.L,LON:HON,https://www.google.com/finance?q=LON:HON,"http://finance.yahoo.com/echarts?s=HON.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1968,HONY,LSE,HONY.L,LON:HONY,https://www.google.com/finance?q=LON:HONY,"http://finance.yahoo.com/echarts?s=HONY.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1969,HOT,LSE,HOT.L,LON:HOT,https://www.google.com/finance?q=LON:HOT,"http://finance.yahoo.com/echarts?s=HOT.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1970,HOTC,LSE,HOTC.L,LON:HOTC,https://www.google.com/finance?q=LON:HOTC,"http://finance.yahoo.com/echarts?s=HOTC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1971,HPAC,LSE,HPAC.L,LON:HPAC,https://www.google.com/finance?q=LON:HPAC,"http://finance.yahoo.com/echarts?s=HPAC.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1972,HPRD,LSE,HPRD.L,LON:HPRD,https://www.google.com/finance?q=LON:HPRD,"http://finance.yahoo.com/echarts?s=HPRD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1973,HPRO,LSE,HPRO.L,LON:HPRO,https://www.google.com/finance?q=LON:HPRO,"http://finance.yahoo.com/echarts?s=HPRO.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1974,HR1O,LSE,HR1O.L,LON:HR1O,https://www.google.com/finance?q=LON:HR1O,"http://finance.yahoo.com/echarts?s=HR1O.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1975,HRG,LSE,HRG.L,LON:HRG,https://www.google.com/finance?q=LON:HRG,"http://finance.yahoo.com/echarts?s=HRG.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1976,HRI,LSE,HRI.L,LON:HRI,https://www.google.com/finance?q=LON:HRI,"http://finance.yahoo.com/echarts?s=HRI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1977,HRN,LSE,HRN.L,LON:HRN,https://www.google.com/finance?q=LON:HRN,"http://finance.yahoo.com/echarts?s=HRN.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1978,HRUB,LSE,HRUB.L,LON:HRUB,https://www.google.com/finance?q=LON:HRUB,"http://finance.yahoo.com/echarts?s=HRUB.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1979,HRUD,LSE,HRUD.L,LON:HRUD,https://www.google.com/finance?q=LON:HRUD,"http://finance.yahoo.com/echarts?s=HRUD.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1980,HS6B,LSE,HS6B.L,LON:HS6B,https://www.google.com/finance?q=LON:HS6B,"http://finance.yahoo.com/echarts?s=HS6B.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1981,HS6D,LSE,HS6D.L,LON:HS6D,https://www.google.com/finance?q=LON:HS6D,"http://finance.yahoo.com/echarts?s=HS6D.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1982,HS6G,LSE,HS6G.L,LON:HS6G,https://www.google.com/finance?q=LON:HS6G,"http://finance.yahoo.com/echarts?s=HS6G.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1983,HS6H,LSE,HS6H.L,LON:HS6H,https://www.google.com/finance?q=LON:HS6H,"http://finance.yahoo.com/echarts?s=HS6H.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1984,HSBA,LSE,HSBA.L,LON:HSBA,https://www.google.com/finance?q=LON:HSBA,"http://finance.yahoo.com/echarts?s=HSBA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
